"NCBI.ID"	"KINGDOM"	"PHYLUM"	"CLASS"	"ORDER"	"FAMILY"	"GENUS"	"NCBI.NAMES"	"AGORA.NAMES"	"MODEL.NAMES"
"96"	483215	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides finegoldii DSM 17565"	"Bacteroides finegoldii DSM 17565"	"Bacteroides_finegoldii_DSM_17565"
"97"	763034	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides fluxus YIT 12057"	"Bacteroides fluxus YIT 12057"	"Bacteroides_fluxus_YIT_12057"
"98"	457424	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides fragilis 3_1_12"	"Bacteroides fragilis 3_1_12"	"Bacteroides_fragilis_3_1_12"
"99"	862962	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides fragilis 638R"	"Bacteroides fragilis 638R"	"Bacteroides_fragilis_638R"
"100"	272559	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides fragilis NCTC 9343"	"Bacteroides fragilis NCTC 9343"	"Bacteroides_fragilis_NCTC_9343"
"101"	295405	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides fragilis YCH46"	"Bacteroides fragilis YCH46"	"Bacteroides_fragilis_YCH46"
"102"	1121097	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides graminisolvens DSM 19988 = JCM 15093"	"Bacteroides graminisolvens DSM 19988"	"Bacteroides_graminisolvens_DSM_19988"
"103"	471870	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides intestinalis DSM 17393"	"Bacteroides intestinalis 341, DSM 17393"	"Bacteroides_intestinalis_341_DSM_17393"
"104"	1121098	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223"	"Bacteroides massiliensis B846dnLKV334"	"Bacteroides_massiliensis_B846dnLKV334"
"105"	997884	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides nordii CL02T12C05"	"Bacteroides nordii CL02T12C05"	"Bacteroides_nordii_CL02T12C05"
